SFU,SuicidalBunny,4,2657,360,10,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,hardgamer432,3,876,85,3,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
MATE,GrimDiplomat663,12,94363,14222,2352,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,Officer Jacob7173820,1,300,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,nyzel08,1,300,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
RVG,edwardkkleung,11,52576,19031,336,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
TLV,Officer Milani3575300,2,555,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
ISK,kiinbgping,5,6626,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
PPPP,Pockky,11,43800,12100,639,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
RHCP,xdexterx1,6,2042,1039,811,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,Officer Maxwell1776139,1,300,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
PLOK,hiphoppop62,7,1407,513,27,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
MMML,kelsuperchel,6,6691,1445,197,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,Officer Klotz947813,1,300,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
,Officer Tamarit18948,2,584,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
KHAN,NonStopSeer123,2,417,,,Laxos,76341,76341,Lilisae,0001-01-01T00:00:00
GUAR,ATOM1,5,2941,885,14,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
SVL,Officer Byrd251891,6,13934,1160,,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
BLOW,Officer Orlando908,5,190,180,,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
TRIN,lordG9281,9,36812,40980,1007,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
BORG,Solomonzz,13,94981,27567,4202,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
XUS,Officer Messina7571075,3,123,,10,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
VICT,wittpct,6,39564,74800,1025,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
,Officer Menard9970400,1,300,,,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
,Officer Carbone5463554,2,505,,,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
HMFT,Kreatosz,4,1279,115,10,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
NTTU,ReadyFighter,6,2765,1624,31,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
RAFS,Davieharbouski,10,26088,1475,213,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
NWO,Officer Ferrand7193316,2,543,,,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
USM,Officer Kitzmann7856412,6,1434,360,12,Laxos,76341,76341,Liwoyiq,0001-01-01T00:00:00
FIS,Officer Arjona5230606,3,2871,135,20,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
,081ramongusi,5,1251,370,,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
NWER,MrPhill,5,2460,435,10,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
JAF,jen4735,5,928,715,13,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
,Officer Corominas8786626,7,66,3306,337,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
JBH,818330,12,46800,18261,634,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
CGPH,Officer Fouquet447,7,258325,214357,20989,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
DRE,Officer Canet9119011,5,4818,10,10,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
THSM,Officer Conti94396,6,1151,2344,137,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
WLNE,FRAZKIWI,6,33249,25080,955,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
SSO,Officer Galli20561,5,3804,420,30,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
BRTS,LJ1218,6,5473,851,106,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
,Officer Fábregas9824395,2,505,,,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
CPGE,andrewchandra11,7,5686,3175,107,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
OOSG,kayaking,13,105500,19946,2716,Laxos,76341,76341,Saquwuu,0001-01-01T00:00:00
WEW,Moritz4567,5,1728,620,148,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
TRIB,Capuleto,12,16460,1399,239,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
ETPR,Officer Le7751145,5,2681,2305,144,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
NVCP,Officer Williamson7905803,7,12629,287,379,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
,Officer Hill9808687,1,430,,,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
SHPT,Officer Röhricht5254658,9,32680,24499,86,Laxos,76341,76341,Ravojeg,0001-01-01T00:00:00
NIF,IntolerableGem58,5,2333,990,3,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
CGPH,liaox0019,5,6875,153,4,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
SECC,Daff1806,6,1703,890,9,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
ALST,Morsie,5,2745,275,12,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
تتتو,Marjuk,8,789,2869,98,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
,Officer Calvet4354677,1,300,,,Laxos,76341,76341,Nuvenuf,0001-01-01T00:00:00
SGSF,Irene7321,7,2407,4462,92,Laxos,76341,76341,Wovouii,0001-01-01T00:00:00
LOGS,Mulhall,7,1821,2577,137,Laxos,76341,76341,Xebay,0001-01-01T00:00:00
WTF,artms181,7,29786,5200,1092,Winber,78653,78653,Ciror,0001-01-01T00:00:00
FYRA,CntGoddessLuna,11,34650,13384,584,Winber,78653,78653,Ciror,0001-01-01T00:00:00
NFG,Aogka,9,40789,6844,1134,Winber,78653,78653,Ciror,0001-01-01T00:00:00
AHMA,HappyWolf,9,64629,16637,3835,Winber,78653,78653,Ciror,0001-01-01T00:00:00
BOBB,ZurcOlinOber,12,38640,9975,64,Winber,78653,78653,Ciror,0001-01-01T00:00:00
TRIN,SorayakoScocca,14,1611571,224625,18417,Winber,78653,78653,Ciror,0001-01-01T00:00:00
BOBB,alha7,16,20792,38469,2674,Winber,78653,78653,Ciror,0001-01-01T00:00:00
BGFX,SrujanNulu,13,14555,24813,1037,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
GLDR,Officer Pires33038,10,84497,260569,12999,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
STAX,Z31D,16,91000,41124,1081,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
GRDA,Stratoforce,13,30545,11750,5121,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
ZAFT,Tomyeh,9,37065,12517,190,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
ESC,pontufle,11,10349,165,,Winber,78653,78653,Euwubop,2018-12-04T04:15:43
BYE,Jack30115,9,36600,9593,,Winber,78653,78653,Euwubop,0001-01-01T00:00:00
